,precision,recall,f1-score,support
0,1.0,1.0,1.0,7.0
1,1.0,0.8571428571428571,0.9230769230769231,7.0
2,0.75,1.0,0.8571428571428571,6.0
3,0.8181818181818182,1.0,0.9,9.0
4,1.0,1.0,1.0,9.0
5,0.8181818181818182,1.0,0.9,9.0
6,1.0,1.0,1.0,9.0
7,1.0,1.0,1.0,7.0
8,1.0,0.875,0.9333333333333333,8.0
9,1.0,0.8888888888888888,0.9411764705882353,9.0
10,1.0,0.8888888888888888,0.9411764705882353,9.0
11,1.0,1.0,1.0,6.0
12,0.8888888888888888,1.0,0.9411764705882353,8.0
13,1.0,1.0,1.0,9.0
14,1.0,1.0,1.0,7.0
15,1.0,0.9090909090909091,0.9523809523809523,11.0
16,1.0,0.8,0.8888888888888888,10.0
17,1.0,0.875,0.9333333333333333,8.0
18,0.9090909090909091,1.0,0.9523809523809523,10.0
19,1.0,1.0,1.0,10.0
20,0.7,0.875,0.7777777777777778,8.0
21,0.7,0.7777777777777778,0.7368421052631579,9.0
22,1.0,1.0,1.0,8.0
23,1.0,1.0,1.0,8.0
24,1.0,0.75,0.8571428571428571,8.0
25,1.0,0.8571428571428571,0.9230769230769231,7.0
26,0.8181818181818182,1.0,0.9,9.0
27,1.0,0.9,0.9473684210526315,10.0
28,0.75,1.0,0.8571428571428571,6.0
29,0.7272727272727273,1.0,0.8421052631578947,8.0
30,0.9166666666666666,1.0,0.9565217391304348,11.0
31,1.0,0.75,0.8571428571428571,8.0
32,0.8571428571428571,0.8571428571428571,0.8571428571428571,7.0
33,1.0,1.0,1.0,9.0
34,1.0,1.0,1.0,11.0
35,1.0,1.0,1.0,10.0
36,1.0,1.0,1.0,10.0
37,0.9,0.9,0.9,10.0
38,0.8888888888888888,0.8,0.8421052631578947,10.0
39,0.9,1.0,0.9473684210526315,9.0
40,0.8181818181818182,1.0,0.9,9.0
41,1.0,0.8,0.8888888888888888,10.0
42,0.875,1.0,0.9333333333333333,7.0
43,0.9090909090909091,1.0,0.9523809523809523,10.0
44,1.0,0.9,0.9473684210526315,10.0
45,1.0,1.0,1.0,10.0
46,0.7692307692307693,1.0,0.8695652173913043,10.0
47,1.0,0.9,0.9473684210526315,10.0
48,1.0,1.0,1.0,8.0
49,0.5,1.0,0.6666666666666666,9.0
50,0.9,1.0,0.9473684210526315,9.0
51,1.0,0.9,0.9473684210526315,10.0
52,1.0,0.9,0.9473684210526315,10.0
53,0.9090909090909091,1.0,0.9523809523809523,10.0
54,1.0,1.0,1.0,10.0
55,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
56,1.0,1.0,1.0,10.0
57,0.875,0.875,0.875,8.0
58,1.0,1.0,1.0,10.0
59,0.9166666666666666,1.0,0.9565217391304348,11.0
60,1.0,0.9,0.9473684210526315,10.0
61,1.0,1.0,1.0,10.0
62,0.7272727272727273,0.8888888888888888,0.8,9.0
63,1.0,0.7,0.8235294117647058,10.0
64,1.0,1.0,1.0,10.0
65,1.0,0.9090909090909091,0.9523809523809523,11.0
66,0.8888888888888888,0.8,0.8421052631578947,10.0
67,0.7142857142857143,1.0,0.8333333333333334,10.0
68,0.8181818181818182,0.9,0.8571428571428571,10.0
69,1.0,0.8181818181818182,0.9,11.0
70,0.9,0.9,0.9,10.0
71,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
72,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
73,1.0,0.8888888888888888,0.9411764705882353,9.0
74,1.0,1.0,1.0,9.0
75,0.8888888888888888,0.8888888888888888,0.8888888888888888,9.0
76,0.7142857142857143,1.0,0.8333333333333334,10.0
77,1.0,0.7777777777777778,0.875,9.0
78,0.7857142857142857,1.0,0.88,11.0
79,1.0,0.3333333333333333,0.5,6.0
80,1.0,1.0,1.0,6.0
81,1.0,1.0,1.0,11.0
82,1.0,0.5454545454545454,0.7058823529411765,11.0
83,0.8333333333333334,0.9090909090909091,0.8695652173913043,11.0
84,0.8,0.8888888888888888,0.8421052631578947,9.0
85,1.0,1.0,1.0,9.0
86,1.0,0.2222222222222222,0.36363636363636365,9.0
87,1.0,0.8181818181818182,0.9,11.0
88,1.0,0.9090909090909091,0.9523809523809523,11.0
89,0.9,1.0,0.9473684210526315,9.0
90,1.0,0.9090909090909091,0.9523809523809523,11.0
91,1.0,0.7777777777777778,0.875,9.0
92,1.0,1.0,1.0,11.0
93,1.0,1.0,1.0,9.0
94,0.9,1.0,0.9473684210526315,9.0
95,1.0,0.4444444444444444,0.6153846153846154,9.0
96,1.0,1.0,1.0,10.0
97,1.0,1.0,1.0,9.0
98,0.875,0.875,0.875,8.0
99,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0
100,0.6,0.75,0.6666666666666666,8.0
101,1.0,0.9,0.9473684210526315,10.0
102,0.9230769230769231,0.9230769230769231,0.9230769230769231,13.0
103,1.0,1.0,1.0,9.0
104,0.9166666666666666,1.0,0.9565217391304348,11.0
105,0.7777777777777778,0.7,0.7368421052631579,10.0
106,0.7142857142857143,0.7142857142857143,0.7142857142857143,7.0
107,0.6153846153846154,0.8888888888888888,0.7272727272727273,9.0
108,1.0,1.0,1.0,10.0
109,1.0,0.8181818181818182,0.9,11.0
110,1.0,0.875,0.9333333333333333,8.0
111,0.9166666666666666,1.0,0.9565217391304348,11.0
112,0.8,0.4,0.5333333333333333,10.0
113,0.8,0.8888888888888888,0.8421052631578947,9.0
114,1.0,1.0,1.0,9.0
115,0.6666666666666666,1.0,0.8,10.0
116,0.8,0.8888888888888888,0.8421052631578947,9.0
117,1.0,0.9,0.9473684210526315,10.0
118,1.0,1.0,1.0,9.0
119,1.0,1.0,1.0,12.0
120,1.0,0.9,0.9473684210526315,10.0
121,1.0,1.0,1.0,10.0
122,0.7777777777777778,0.7,0.7368421052631579,10.0
123,1.0,1.0,1.0,10.0
124,1.0,1.0,1.0,10.0
125,0.8181818181818182,1.0,0.9,9.0
126,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0
127,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
128,1.0,0.7272727272727273,0.8421052631578947,11.0
129,1.0,1.0,1.0,10.0
130,1.0,1.0,1.0,10.0
131,1.0,1.0,1.0,11.0
132,1.0,1.0,1.0,11.0
133,1.0,0.8888888888888888,0.9411764705882353,9.0
134,0.9090909090909091,1.0,0.9523809523809523,10.0
135,1.0,1.0,1.0,12.0
136,1.0,1.0,1.0,11.0
137,0.9090909090909091,1.0,0.9523809523809523,10.0
138,0.8,0.8571428571428571,0.8275862068965517,14.0
139,0.9,0.9,0.9,10.0
140,1.0,0.9166666666666666,0.9565217391304348,12.0
141,1.0,1.0,1.0,11.0
142,0.9090909090909091,1.0,0.9523809523809523,10.0
143,0.8333333333333334,1.0,0.9090909090909091,10.0
144,0.9,0.9,0.9,10.0
145,1.0,1.0,1.0,9.0
146,1.0,0.9,0.9473684210526315,10.0
147,1.0,0.8333333333333334,0.9090909090909091,12.0
148,1.0,1.0,1.0,11.0
149,1.0,1.0,1.0,8.0
accuracy,0.9167832167832168,0.9167832167832168,0.9167832167832168,0.9167832167832168
macro avg,0.9277220372220374,0.9154765974765977,0.9128627756932387,1430.0
weighted avg,0.9297467664425707,0.9167832167832168,0.9151111656004203,1430.0
